,,C1,C2
0,Round 1,623660345.3,438747790
1,Round 2,509862908.3,249803933.6
2,Round 3,485480681.9,194494814.4
3,Round 4,463997011.7,169804841.5
4,Round 5,460969266.6,156295748.8
5,Round 6,460537848,149094208.1
6,Round 7,460313099.7,142508531.6
7,Round 8,460003523.9,132303869.4
8,Round 9,459570539.3,117170969.8
9,Round 10,459021103.3,108547377.2
10,Round 11,458490656.2,102237203.3
11,Round 12,457944232.6,98278015.75
12,Round 13,457558005.2,95630226.12
13,Round 14,457290136.4,93793314.05
14,Round 15,457050555.1,92377131.97
15,Round 16,456892235.6,91541606.25
16,Round 17,456703630.7,91045573.83
17,Round 18,456404203,90752240.1
18,Round 19,456177800.5,90470170.18
19,Round 20,455986871,90216416.18
